date	artist	song
1/5/74	Jim Croce	Time In A Bottle
12/29/73	Jim Croce	Time In A Bottle
12/22/73	Charlie Rich	The Most Beautiful Girl
12/15/73	Charlie Rich	The Most Beautiful Girl
12/8/73	Carpenters	Top Of The World
12/1/73	Carpenters	Top Of The World
11/24/73	Ringo Starr	Photograph
11/17/73	Eddie Kendricks	Keep On Truckin' (Part 1)
11/10/73	Eddie Kendricks	Keep On Truckin' (Part 1)
11/3/73	Gladys Knight And The Pips	Midnight Train To Georgia
10/27/73	Gladys Knight And The Pips	Midnight Train To Georgia
10/20/73	The Rolling Stones	Angie
10/13/73	Cher	Half-Breed
10/6/73	Cher	Half-Breed
9/29/73	Grand Funk	We're An American Band
9/22/73	Marvin Gaye	Let's Get It On
9/15/73	Helen Reddy	Delta Dawn
9/8/73	Marvin Gaye	Let's Get It On
9/1/73	Stories	Brother Louie
8/25/73	Stories	Brother Louie
8/18/73	Diana Ross	Touch Me In The Morning
8/11/73	Maureen McGovern	The Morning After
8/4/73	Maureen McGovern	The Morning After
7/28/73	Jim Croce	Bad, Bad Leroy Brown
7/21/73	Jim Croce	Bad, Bad Leroy Brown
7/14/73	Billy Preston	Will It Go Round In Circles
7/7/73	Billy Preston	Will It Go Round In Circles
6/30/73	George Harrison	Give Me Love - (Give Me Peace On Earth)
6/23/73	Paul McCartney And Wings	My Love
6/16/73	Paul McCartney And Wings	My Love
6/9/73	Paul McCartney And Wings	My Love
6/2/73	Paul McCartney And Wings	My Love
5/26/73	Edgar Winter Group	Frankenstein
5/19/73	Stevie Wonder	You Are The Sunshine Of My Life
5/12/73	Dawn Featuring Tony Orlando	Tie A Yellow Ribbon Round The Ole Oak Tree
5/5/73	Dawn Featuring Tony Orlando	Tie A Yellow Ribbon Round The Ole Oak Tree
4/28/73	Dawn Featuring Tony Orlando	Tie A Yellow Ribbon Round The Ole Oak Tree
4/21/73	Dawn Featuring Tony Orlando	Tie A Yellow Ribbon Round The Ole Oak Tree
4/14/73	Vicki Lawrence	The Night The Lights Went Out In Georgia
4/7/73	Vicki Lawrence	The Night The Lights Went Out In Georgia
3/31/73	Roberta Flack	Killing Me Softly With His Song
3/24/73	The O'Jays	Love Train
3/17/73	Roberta Flack	Killing Me Softly With His Song
3/10/73	Roberta Flack	Killing Me Softly With His Song
3/3/73	Roberta Flack	Killing Me Softly With His Song
2/24/73	Roberta Flack	Killing Me Softly With His Song
2/17/73	Elton John	Crocodile Rock
2/10/73	Elton John	Crocodile Rock
2/3/73	Elton John	Crocodile Rock
1/27/73	Stevie Wonder	Superstition
1/20/73	Carly Simon	You're So Vain
1/13/73	Carly Simon	You're So Vain
1/6/73	Carly Simon	You're So Vain
12/30/72	Billy Paul	Me And Mrs. Jones
12/23/72	Billy Paul	Me And Mrs. Jones
12/16/72	Billy Paul	Me And Mrs. Jones
12/9/72	Helen Reddy	I Am Woman
12/2/72	The Temptations	Papa Was A Rollin' Stone
11/25/72	Johnny Nash	I Can See Clearly Now
11/18/72	Johnny Nash	I Can See Clearly Now
11/11/72	Johnny Nash	I Can See Clearly Now
11/4/72	Johnny Nash	I Can See Clearly Now
10/28/72	Chuck Berry	My Ding-A-Ling
10/21/72	Chuck Berry	My Ding-A-Ling
10/14/72	Michael Jackson	Ben
10/7/72	Mac Davis	Baby Don't Get Hooked On Me
9/30/72	Mac Davis	Baby Don't Get Hooked On Me
9/23/72	Mac Davis	Baby Don't Get Hooked On Me
9/16/72	Three Dog Night	Black & White
9/9/72	Gilbert O'Sullivan	Alone Again (Naturally)
9/2/72	Gilbert O'Sullivan	Alone Again (Naturally)
8/26/72	Looking Glass	Brandy (You're A Fine Girl)
8/19/72	Gilbert O'Sullivan	Alone Again (Naturally)
8/12/72	Gilbert O'Sullivan	Alone Again (Naturally)
8/5/72	Gilbert O'Sullivan	Alone Again (Naturally)
7/29/72	Gilbert O'Sullivan	Alone Again (Naturally)
7/22/72	Bill Withers	Lean On Me
7/15/72	Bill Withers	Lean On Me
7/8/72	Bill Withers	Lean On Me
7/1/72	Neil Diamond	Song Sung Blue
6/24/72	Sammy Davis, Jr. with The Mike Curb Congregation	The Candy Man
6/17/72	Sammy Davis, Jr. with The Mike Curb Congregation	The Candy Man
6/10/72	Sammy Davis, Jr. with The Mike Curb Congregation	The Candy Man
6/3/72	The Staple Singers	I'll Take You There
5/27/72	The Chi-lites	Oh Girl
5/20/72	Roberta Flack	The First Time Ever I Saw Your Face
5/13/72	Roberta Flack	The First Time Ever I Saw Your Face
5/6/72	Roberta Flack	The First Time Ever I Saw Your Face
4/29/72	Roberta Flack	The First Time Ever I Saw Your Face
4/22/72	Roberta Flack	The First Time Ever I Saw Your Face
4/15/72	Roberta Flack	The First Time Ever I Saw Your Face
4/8/72	America	A Horse With No Name
4/1/72	America	A Horse With No Name
3/25/72	America	A Horse With No Name
3/18/72	Neil Young	Heart Of Gold
3/11/72	Nilsson	Without You
3/4/72	Nilsson	Without You
2/26/72	Nilsson	Without You
2/19/72	Nilsson	Without You
2/12/72	Al Green	Let's Stay Together
2/5/72	Don McLean	American Pie (Parts I & II)
1/29/72	Don McLean	American Pie (Parts I & II)
1/22/72	Don McLean	American Pie (Parts I & II)
1/15/72	Don McLean	American Pie (Parts I & II)
1/8/72	Melanie	Brand New Key
1/1/72	Melanie	Brand New Key
12/25/71	Melanie	Brand New Key
12/18/71	Sly & The Family Stone	Family Affair
12/11/71	Sly & The Family Stone	Family Affair
12/4/71	Sly & The Family Stone	Family Affair
11/27/71	Isaac Hayes	Theme From Shaft
11/20/71	Isaac Hayes	Theme From Shaft
11/13/71	Cher	Gypsys, Tramps & Thieves
11/6/71	Cher	Gypsys, Tramps & Thieves
10/30/71	Rod Stewart	Maggie May/Reason To Believe
10/23/71	Rod Stewart	Maggie May/Reason To Believe
10/16/71	Rod Stewart	Maggie May/Reason To Believe
10/9/71	Rod Stewart	Maggie May/Reason To Believe
10/2/71	Rod Stewart	Maggie May/Reason To Believe
9/25/71	Donny Osmond	Go Away Little Girl
9/18/71	Donny Osmond	Go Away Little Girl
9/11/71	Donny Osmond	Go Away Little Girl
9/4/71	Paul & Linda McCartney	Uncle Albert/Admiral Halsey
8/28/71	Bee Gees	How Can You Mend A Broken Heart
8/21/71	Bee Gees	How Can You Mend A Broken Heart
8/14/71	Bee Gees	How Can You Mend A Broken Heart
8/7/71	Bee Gees	How Can You Mend A Broken Heart
7/31/71	James Taylor	You've Got A Friend
7/24/71	The Raiders	Indian Reservation (The Lament Of The Cherokee Reservation Indian)
7/17/71	Carole King	It's Too Late/I Feel The Earth Move
7/10/71	Carole King	It's Too Late/I Feel The Earth Move
7/3/71	Carole King	It's Too Late/I Feel The Earth Move
6/26/71	Carole King	It's Too Late/I Feel The Earth Move
6/19/71	Carole King	It's Too Late/I Feel The Earth Move
6/12/71	The Honey Cone	Want Ads
6/5/71	The Rolling Stones	Brown Sugar
5/29/71	The Rolling Stones	Brown Sugar
5/22/71	Three Dog Night	Joy To The World
5/15/71	Three Dog Night	Joy To The World
5/8/71	Three Dog Night	Joy To The World
5/1/71	Three Dog Night	Joy To The World
4/24/71	Three Dog Night	Joy To The World
4/17/71	Three Dog Night	Joy To The World
4/10/71	The Temptations	Just My Imagination (Running Away With Me)
4/3/71	The Temptations	Just My Imagination (Running Away With Me)
3/27/71	Janis Joplin	Me And Bobby McGee
3/20/71	Janis Joplin	Me And Bobby McGee
3/13/71	The Osmonds	One Bad Apple
3/6/71	The Osmonds	One Bad Apple
2/27/71	The Osmonds	One Bad Apple
2/20/71	The Osmonds	One Bad Apple
2/13/71	The Osmonds	One Bad Apple
2/6/71	Dawn	Knock Three Times
1/30/71	Dawn	Knock Three Times
1/23/71	Dawn	Knock Three Times
1/16/71	George Harrison	My Sweet Lord/Isn't It A Pity
1/9/71	George Harrison	My Sweet Lord/Isn't It A Pity
1/2/71	George Harrison	My Sweet Lord/Isn't It A Pity
12/26/70	George Harrison	My Sweet Lord/Isn't It A Pity
12/19/70	Smokey Robinson & The Miracles	The Tears Of A Clown
12/12/70	Smokey Robinson & The Miracles	The Tears Of A Clown
12/5/70	The Partridge Family Starring Shirley Jones Featuring David Cassidy	I Think I Love You
11/28/70	The Partridge Family Starring Shirley Jones Featuring David Cassidy	I Think I Love You
11/21/70	The Partridge Family Starring Shirley Jones Featuring David Cassidy	I Think I Love You
11/14/70	Jackson 5	I'll Be There
11/7/70	Jackson 5	I'll Be There
10/31/70	Jackson 5	I'll Be There
10/24/70	Jackson 5	I'll Be There
10/17/70	Jackson 5	I'll Be There
10/10/70	Neil Diamond	Cracklin' Rosie
10/3/70	Diana Ross	Ain't No Mountain High Enough
9/26/70	Diana Ross	Ain't No Mountain High Enough
9/19/70	Diana Ross	Ain't No Mountain High Enough
9/12/70	Edwin Starr	War
9/5/70	Edwin Starr	War
8/29/70	Edwin Starr	War
8/22/70	Bread	Make It With You
8/15/70	Carpenters	(They Long To Be) Close To You
8/8/70	Carpenters	(They Long To Be) Close To You
8/1/70	Carpenters	(They Long To Be) Close To You
7/25/70	Carpenters	(They Long To Be) Close To You
7/18/70	Three Dog Night	Mama Told Me (Not To Come)
7/11/70	Three Dog Night	Mama Told Me (Not To Come)
7/4/70	Jackson 5	The Love You Save/I Found That Girl
6/27/70	Jackson 5	The Love You Save/I Found That Girl
6/20/70	The Beatles	The Long And Winding Road/For You Blue
6/13/70	The Beatles	The Long And Winding Road/For You Blue
6/6/70	Ray Stevens	Everything Is Beautiful
5/30/70	Ray Stevens	Everything Is Beautiful
5/23/70	The Guess Who	American Woman/No Sugar Tonight
5/16/70	The Guess Who	American Woman/No Sugar Tonight
5/9/70	The Guess Who	American Woman/No Sugar Tonight
5/2/70	Jackson 5	ABC
4/25/70	Jackson 5	ABC
4/18/70	The Beatles	Let It Be
4/11/70	The Beatles	Let It Be
4/4/70	Simon & Garfunkel	Bridge Over Troubled Water
3/28/70	Simon & Garfunkel	Bridge Over Troubled Water
3/21/70	Simon & Garfunkel	Bridge Over Troubled Water
3/14/70	Simon & Garfunkel	Bridge Over Troubled Water
3/7/70	Simon & Garfunkel	Bridge Over Troubled Water
2/28/70	Simon & Garfunkel	Bridge Over Troubled Water
2/21/70	Sly & The Family Stone	Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star
2/14/70	Sly & The Family Stone	Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star
2/7/70	The Shocking Blue	Venus
1/31/70	Jackson 5	I Want You Back
1/24/70	B.J. Thomas	Raindrops Keep Fallin' On My Head
1/17/70	B.J. Thomas	Raindrops Keep Fallin' On My Head
1/10/70	B.J. Thomas	Raindrops Keep Fallin' On My Head
1/3/70	B.J. Thomas	Raindrops Keep Fallin' On My Head
12/27/69	Diana Ross & The Supremes	Someday We'll Be Together
12/20/69	Peter, Paul & Mary	Leaving On A Jet Plane
12/13/69	Steam	Na Na Hey Hey Kiss Him Goodbye
12/6/69	Steam	Na Na Hey Hey Kiss Him Goodbye
11/29/69	The Beatles	Come Together/Something
11/22/69	The 5th Dimension	Wedding Bell Blues
11/15/69	The 5th Dimension	Wedding Bell Blues
11/8/69	The 5th Dimension	Wedding Bell Blues
11/1/69	Elvis Presley	Suspicious Minds
10/25/69	The Temptations	I Can't Get Next To You
10/18/69	The Temptations	I Can't Get Next To You
10/11/69	The Archies	Sugar, Sugar
10/4/69	The Archies	Sugar, Sugar
9/27/69	The Archies	Sugar, Sugar
9/20/69	The Archies	Sugar, Sugar
9/13/69	The Rolling Stones	Honky Tonk Women
9/6/69	The Rolling Stones	Honky Tonk Women
8/30/69	The Rolling Stones	Honky Tonk Women
8/23/69	The Rolling Stones	Honky Tonk Women
8/16/69	Zager & Evans	In The Year 2525
8/9/69	Zager & Evans	In The Year 2525
8/2/69	Zager & Evans	In The Year 2525
7/26/69	Zager & Evans	In The Year 2525
7/19/69	Zager & Evans	In The Year 2525
7/12/69	Zager & Evans	In The Year 2525
7/5/69	Henry Mancini And His Orchestra	Love Theme From Romeo & Juliet
6/28/69	Henry Mancini And His Orchestra	Love Theme From Romeo & Juliet
6/21/69	The Beatles With Billy Preston	Get Back
6/14/69	The Beatles With Billy Preston	Get Back
6/7/69	The Beatles With Billy Preston	Get Back
5/31/69	The Beatles With Billy Preston	Get Back
5/24/69	The Beatles With Billy Preston	Get Back
5/17/69	The 5th Dimension	Aquarius/Let The Sunshine In (The Flesh Failures)
5/10/69	The 5th Dimension	Aquarius/Let The Sunshine In (The Flesh Failures)
5/3/69	The 5th Dimension	Aquarius/Let The Sunshine In (The Flesh Failures)
4/26/69	The 5th Dimension	Aquarius/Let The Sunshine In (The Flesh Failures)
4/19/69	The 5th Dimension	Aquarius/Let The Sunshine In (The Flesh Failures)
4/12/69	The 5th Dimension	Aquarius/Let The Sunshine In (The Flesh Failures)
4/5/69	Tommy Roe	Dizzy
3/29/69	Tommy Roe	Dizzy
3/22/69	Tommy Roe	Dizzy
3/15/69	Tommy Roe	Dizzy
3/8/69	Sly & The Family Stone	Everyday People
3/1/69	Sly & The Family Stone	Everyday People
2/22/69	Sly & The Family Stone	Everyday People
2/15/69	Sly & The Family Stone	Everyday People
2/8/69	Tommy James And The Shondells	Crimson And Clover
2/1/69	Tommy James And The Shondells	Crimson And Clover
1/25/69	Marvin Gaye	I Heard It Through The Grapevine
1/18/69	Marvin Gaye	I Heard It Through The Grapevine
1/11/69	Marvin Gaye	I Heard It Through The Grapevine
1/4/69	Marvin Gaye	I Heard It Through The Grapevine
12/28/68	Marvin Gaye	I Heard It Through The Grapevine
12/21/68	Marvin Gaye	I Heard It Through The Grapevine
12/14/68	Marvin Gaye	I Heard It Through The Grapevine
12/7/68	Diana Ross & The Supremes	Love Child
11/30/68	Diana Ross & The Supremes	Love Child
11/23/68	The Beatles	Hey Jude
11/16/68	The Beatles	Hey Jude
11/9/68	The Beatles	Hey Jude
11/2/68	The Beatles	Hey Jude
10/26/68	The Beatles	Hey Jude
10/19/68	The Beatles	Hey Jude
10/12/68	The Beatles	Hey Jude
10/5/68	The Beatles	Hey Jude
9/28/68	The Beatles	Hey Jude
9/21/68	Jeannie C. Riley	Harper Valley P.T.A.
9/14/68	The Rascals	People Got To Be Free
9/7/68	The Rascals	People Got To Be Free
8/31/68	The Rascals	People Got To Be Free
8/24/68	The Rascals	People Got To Be Free
8/17/68	The Rascals	People Got To Be Free
8/10/68	The Doors	Hello, I Love You
8/3/68	The Doors	Hello, I Love You
7/27/68	Hugh Masekela	Grazing In The Grass
7/20/68	Hugh Masekela	Grazing In The Grass
7/13/68	Herb Alpert	This Guy's In Love With You
7/6/68	Herb Alpert	This Guy's In Love With You
6/29/68	Herb Alpert	This Guy's In Love With You
6/22/68	Herb Alpert	This Guy's In Love With You
6/15/68	Simon & Garfunkel	Mrs. Robinson
6/8/68	Simon & Garfunkel	Mrs. Robinson
6/1/68	Simon & Garfunkel	Mrs. Robinson
5/25/68	Archie Bell & The Drells	Tighten Up
5/18/68	Archie Bell & The Drells	Tighten Up
5/11/68	Bobby Goldsboro	Honey
5/4/68	Bobby Goldsboro	Honey
4/27/68	Bobby Goldsboro	Honey
4/20/68	Bobby Goldsboro	Honey
4/13/68	Bobby Goldsboro	Honey
4/6/68	Otis Redding	(Sittin' On) The Dock Of The Bay
3/30/68	Otis Redding	(Sittin' On) The Dock Of The Bay
3/23/68	Otis Redding	(Sittin' On) The Dock Of The Bay
3/16/68	Otis Redding	(Sittin' On) The Dock Of The Bay
3/9/68	Paul Mauriat And His Orchestra	Love Is Blue (L'amour Est Bleu)
3/2/68	Paul Mauriat And His Orchestra	Love Is Blue (L'amour Est Bleu)
2/24/68	Paul Mauriat And His Orchestra	Love Is Blue (L'amour Est Bleu)
2/17/68	Paul Mauriat And His Orchestra	Love Is Blue (L'amour Est Bleu)
2/10/68	Paul Mauriat And His Orchestra	Love Is Blue (L'amour Est Bleu)
2/3/68	The Lemon Pipers	Green Tambourine
1/27/68	John Fred And The Playboys	Judy In Disguise (With Glasses)
1/20/68	John Fred And The Playboys	Judy In Disguise (With Glasses)
1/13/68	The Beatles	Hello Goodbye
1/6/68	The Beatles	Hello Goodbye
12/30/67	The Beatles	Hello Goodbye
12/23/67	The Monkees	Daydream Believer
12/16/67	The Monkees	Daydream Believer
12/9/67	The Monkees	Daydream Believer
12/2/67	The Monkees	Daydream Believer
11/25/67	Strawberry Alarm Clock	Incense And Peppermints
11/18/67	Lulu	To Sir With Love
11/11/67	Lulu	To Sir With Love
11/4/67	Lulu	To Sir With Love
10/28/67	Lulu	To Sir With Love
10/21/67	Lulu	To Sir With Love
10/14/67	The Box Tops	The Letter
10/7/67	The Box Tops	The Letter
9/30/67	The Box Tops	The Letter
9/23/67	The Box Tops	The Letter
9/16/67	Bobbie Gentry	Ode To Billie Joe
9/9/67	Bobbie Gentry	Ode To Billie Joe
9/2/67	Bobbie Gentry	Ode To Billie Joe
8/26/67	Bobbie Gentry	Ode To Billie Joe
8/19/67	The Beatles	All You Need Is Love
8/12/67	The Doors	Light My Fire
8/5/67	The Doors	Light My Fire
7/29/67	The Doors	Light My Fire
7/22/67	The Association	Windy
7/15/67	The Association	Windy
7/8/67	The Association	Windy
7/1/67	The Association	Windy
6/24/67	The Young Rascals	Groovin'
6/17/67	The Young Rascals	Groovin'
6/10/67	Aretha Franklin	Respect
6/3/67	Aretha Franklin	Respect
5/27/67	The Young Rascals	Groovin'
5/20/67	The Young Rascals	Groovin'
5/13/67	The Supremes	The Happening
5/6/67	Nancy Sinatra & Frank Sinatra	Somethin' Stupid
4/29/67	Nancy Sinatra & Frank Sinatra	Somethin' Stupid
4/22/67	Nancy Sinatra & Frank Sinatra	Somethin' Stupid
4/15/67	Nancy Sinatra & Frank Sinatra	Somethin' Stupid
4/8/67	The Turtles	Happy Together
4/1/67	The Turtles	Happy Together
3/25/67	The Turtles	Happy Together
3/18/67	The Beatles	Penny Lane
3/11/67	The Supremes	Love Is Here And Now You're Gone
3/4/67	The Rolling Stones	Ruby Tuesday
2/25/67	The Buckinghams	Kind Of A Drag
2/18/67	The Buckinghams	Kind Of A Drag
2/11/67	The Monkees	I'm A Believer
2/4/67	The Monkees	I'm A Believer
1/28/67	The Monkees	I'm A Believer
1/21/67	The Monkees	I'm A Believer
1/14/67	The Monkees	I'm A Believer
1/7/67	The Monkees	I'm A Believer
12/31/66	The Monkees	I'm A Believer
12/24/66	The New Vaudeville Band	Winchester Cathedral
12/17/66	The New Vaudeville Band	Winchester Cathedral
12/10/66	The Beach Boys	Good Vibrations
12/3/66	The New Vaudeville Band	Winchester Cathedral
11/26/66	The Supremes	You Keep Me Hangin' On
11/19/66	The Supremes	You Keep Me Hangin' On
11/12/66	Johnny Rivers	Poor Side Of Town
11/5/66	The Monkees	Last Train To Clarksville
10/29/66	? (Question Mark) & The Mysterians	96 Tears
10/22/66	Four Tops	Reach Out I'll Be There
10/15/66	Four Tops	Reach Out I'll Be There
10/8/66	The Association	Cherish
10/1/66	The Association	Cherish
9/24/66	The Association	Cherish
9/17/66	The Supremes	You Can't Hurry Love
9/10/66	The Supremes	You Can't Hurry Love
9/3/66	Donovan	Sunshine Superman
8/27/66	The Lovin' Spoonful	Summer In The City
8/20/66	The Lovin' Spoonful	Summer In The City
8/13/66	The Lovin' Spoonful	Summer In The City
8/6/66	The Troggs	Wild Thing
7/30/66	The Troggs	Wild Thing
7/23/66	Tommy James And The Shondells	Hanky Panky
7/16/66	Tommy James And The Shondells	Hanky Panky
7/9/66	The Beatles	Paperback Writer
7/2/66	Frank Sinatra	Strangers In The Night
6/25/66	The Beatles	Paperback Writer
6/18/66	The Rolling Stones	Paint It, Black
6/11/66	The Rolling Stones	Paint It, Black
6/4/66	Percy Sledge	When A Man Loves A Woman
5/28/66	Percy Sledge	When A Man Loves A Woman
5/21/66	The Mamas & The Papas	Monday, Monday
5/14/66	The Mamas & The Papas	Monday, Monday
5/7/66	The Mamas & The Papas	Monday, Monday
4/30/66	The Young Rascals	Good Lovin'
4/23/66	The Righteous Brothers	(You're My) Soul And Inspiration
4/16/66	The Righteous Brothers	(You're My) Soul And Inspiration
4/9/66	The Righteous Brothers	(You're My) Soul And Inspiration
4/2/66	SSgt Barry Sadler	The Ballad Of The Green Berets
3/26/66	SSgt Barry Sadler	The Ballad Of The Green Berets
3/19/66	SSgt Barry Sadler	The Ballad Of The Green Berets
3/12/66	SSgt Barry Sadler	The Ballad Of The Green Berets
3/5/66	SSgt Barry Sadler	The Ballad Of The Green Berets
2/26/66	Nancy Sinatra	These Boots Are Made For Walkin'
2/19/66	Lou Christie	Lightnin' Strikes
2/12/66	Petula Clark	My Love
2/5/66	Petula Clark	My Love
1/29/66	The Beatles	We Can Work It Out
1/22/66	Simon & Garfunkel	The Sound Of Silence
1/15/66	The Beatles	We Can Work It Out
1/8/66	The Beatles	We Can Work It Out
1/1/66	Simon & Garfunkel	The Sound Of Silence
12/25/65	The Dave Clark Five	Over And Over
12/18/65	The Byrds	Turn! Turn! Turn! (To Everything There Is A Season)
12/11/65	The Byrds	Turn! Turn! Turn! (To Everything There Is A Season)
12/4/65	The Byrds	Turn! Turn! Turn! (To Everything There Is A Season)
11/27/65	The Supremes	I Hear A Symphony
11/20/65	The Supremes	I Hear A Symphony
11/13/65	The Rolling Stones	Get Off Of My Cloud
11/6/65	The Rolling Stones	Get Off Of My Cloud
10/30/65	The Beatles	Yesterday
10/23/65	The Beatles	Yesterday
10/16/65	The Beatles	Yesterday
10/9/65	The Beatles	Yesterday
10/2/65	The McCoys	Hang On Sloopy
9/25/65	Barry McGuire	Eve Of Destruction
9/18/65	The Beatles	Help!
9/11/65	The Beatles	Help!
9/4/65	The Beatles	Help!
8/28/65	Sonny & Cher	I Got You Babe
8/21/65	Sonny & Cher	I Got You Babe
8/14/65	Sonny & Cher	I Got You Babe
8/7/65	Herman's Hermits	I'm Henry VIII, I Am
7/31/65	The Rolling Stones	(I Can't Get No) Satisfaction
7/24/65	The Rolling Stones	(I Can't Get No) Satisfaction
7/17/65	The Rolling Stones	(I Can't Get No) Satisfaction
7/10/65	The Rolling Stones	(I Can't Get No) Satisfaction
7/3/65	Four Tops	I Can't Help Myself (Sugar Pie Honey Bunch)
6/26/65	The Byrds	Mr. Tambourine Man
6/19/65	Four Tops	I Can't Help Myself (Sugar Pie Honey Bunch)
6/12/65	The Supremes	Back In My Arms Again
6/5/65	The Beach Boys	Help Me, Rhonda
5/29/65	The Beach Boys	Help Me, Rhonda
5/22/65	The Beatles	Ticket To Ride
5/15/65	Herman's Hermits	Mrs. Brown You've Got A Lovely Daughter
5/8/65	Herman's Hermits	Mrs. Brown You've Got A Lovely Daughter
5/1/65	Herman's Hermits	Mrs. Brown You've Got A Lovely Daughter
4/24/65	Wayne Fontana & The Mindbenders	Game Of Love
4/17/65	Freddie And The Dreamers	I'm Telling You Now
4/10/65	Freddie And The Dreamers	I'm Telling You Now
4/3/65	The Supremes	Stop! In The Name Of Love
3/27/65	The Supremes	Stop! In The Name Of Love
3/20/65	The Beatles	Eight Days A Week
3/13/65	The Beatles	Eight Days A Week
3/6/65	The Temptations	My Girl
2/27/65	Gary Lewis And The Playboys	This Diamond Ring
2/20/65	Gary Lewis And The Playboys	This Diamond Ring
2/13/65	The Righteous Brothers	You've Lost That Lovin' Feelin'
2/6/65	The Righteous Brothers	You've Lost That Lovin' Feelin'
1/30/65	Petula Clark	Downtown
1/23/65	Petula Clark	Downtown
1/16/65	The Supremes	Come See About Me
1/9/65	The Beatles	I Feel Fine
1/2/65	The Beatles	I Feel Fine
12/26/64	The Beatles	I Feel Fine
12/19/64	The Supremes	Come See About Me
12/12/64	Bobby Vinton	Mr. Lonely
12/5/64	Lorne Greene	Ringo
11/28/64	The Shangri-Las	Leader Of The Pack
11/21/64	The Supremes	Baby Love
11/14/64	The Supremes	Baby Love
11/7/64	The Supremes	Baby Love
10/31/64	The Supremes	Baby Love
10/24/64	Manfred Mann	Do Wah Diddy Diddy
10/17/64	Manfred Mann	Do Wah Diddy Diddy
10/10/64	Roy Orbison And The Candy Men	Oh, Pretty Woman
10/3/64	Roy Orbison And The Candy Men	Oh, Pretty Woman
9/26/64	Roy Orbison And The Candy Men	Oh, Pretty Woman
9/19/64	The Animals	House Of The Rising Sun
9/12/64	The Animals	House Of The Rising Sun
9/5/64	The Animals	House Of The Rising Sun
8/29/64	The Supremes	Where Did Our Love Go
8/22/64	The Supremes	Where Did Our Love Go
8/15/64	Dean Martin	Everybody Loves Somebody
8/8/64	The Beatles	A Hard Day's Night
8/1/64	The Beatles	A Hard Day's Night
7/25/64	The 4 Seasons Featuring the "Sound of Frankie Valli"	Rag Doll
7/18/64	The 4 Seasons Featuring the "Sound of Frankie Valli"	Rag Doll
7/11/64	The Beach Boys	I Get Around
7/4/64	The Beach Boys	I Get Around
6/27/64	Peter And Gordon	A World Without Love
6/20/64	The Dixie Cups	Chapel Of Love
6/13/64	The Dixie Cups	Chapel Of Love
6/6/64	The Dixie Cups	Chapel Of Love
5/30/64	The Beatles	Love Me Do
5/23/64	Mary Wells	My Guy
5/16/64	Mary Wells	My Guy
5/9/64	Louis Armstrong And The All Stars	Hello, Dolly!
5/2/64	The Beatles	Can't Buy Me Love
4/25/64	The Beatles	Can't Buy Me Love
4/18/64	The Beatles	Can't Buy Me Love
4/11/64	The Beatles	Can't Buy Me Love
4/4/64	The Beatles	Can't Buy Me Love
3/28/64	The Beatles	She Loves You
3/21/64	The Beatles	She Loves You
3/14/64	The Beatles	I Want To Hold Your Hand
3/7/64	The Beatles	I Want To Hold Your Hand
2/29/64	The Beatles	I Want To Hold Your Hand
2/22/64	The Beatles	I Want To Hold Your Hand
2/15/64	The Beatles	I Want To Hold Your Hand
2/8/64	The Beatles	I Want To Hold Your Hand
2/1/64	The Beatles	I Want To Hold Your Hand
1/25/64	Bobby Vinton	There! I've Said It Again
1/18/64	Bobby Vinton	There! I've Said It Again
1/11/64	Bobby Vinton	There! I've Said It Again
1/4/64	Bobby Vinton	There! I've Said It Again
12/28/63	The Singing Nun (Soeur Sourire)	Dominique
12/21/63	The Singing Nun (Soeur Sourire)	Dominique
12/14/63	The Singing Nun (Soeur Sourire)	Dominique
12/7/63	The Singing Nun (Soeur Sourire)	Dominique
11/30/63	Dale & Grace	I'm Leaving It Up To You
11/23/63	Dale & Grace	I'm Leaving It Up To You
11/16/63	Nino Tempo & April Stevens	Deep Purple
11/9/63	Jimmy Gilmer And The Fireballs	Sugar Shack
11/2/63	Jimmy Gilmer And The Fireballs	Sugar Shack
10/26/63	Jimmy Gilmer And The Fireballs	Sugar Shack
10/19/63	Jimmy Gilmer And The Fireballs	Sugar Shack
10/12/63	Jimmy Gilmer And The Fireballs	Sugar Shack
10/5/63	Bobby Vinton	Blue Velvet
9/28/63	Bobby Vinton	Blue Velvet
9/21/63	Bobby Vinton	Blue Velvet
9/14/63	The Angels	My Boyfriend's Back
9/7/63	The Angels	My Boyfriend's Back
8/31/63	The Angels	My Boyfriend's Back
8/24/63	Little Stevie Wonder	Fingertips - Pt 2
8/17/63	Little Stevie Wonder	Fingertips - Pt 2
8/10/63	Little Stevie Wonder	Fingertips - Pt 2
8/3/63	The Tymes	So Much In Love
7/27/63	Jan & Dean	Surf City
7/20/63	Jan & Dean	Surf City
7/13/63	The Essex	Easier Said Than Done
7/6/63	The Essex	Easier Said Than Done
6/29/63	Kyu Sakamoto	Sukiyaki
6/22/63	Kyu Sakamoto	Sukiyaki
6/15/63	Kyu Sakamoto	Sukiyaki
6/8/63	Lesley Gore	It's My Party
6/1/63	Lesley Gore	It's My Party
5/25/63	Jimmy Soul	If You Wanna Be Happy
5/18/63	Jimmy Soul	If You Wanna Be Happy
5/11/63	Little Peggy March	I Will Follow Him
5/4/63	Little Peggy March	I Will Follow Him
